#W_0n	Temperature centrale	Temperature moyenne
2.6	7.56084e+06	4.64093e+06
2.61	7.58223e+06	4.65552e+06
2.62	7.60355e+06	4.67008e+06
2.63	7.62481e+06	4.68462e+06
2.64	7.64601e+06	4.69913e+06
2.65	7.66715e+06	4.71361e+06
2.66	7.68823e+06	4.72806e+06
2.67	7.70925e+06	4.74248e+06
2.68	7.7302e+06	4.75687e+06
2.69	7.7511e+06	4.77123e+06
2.7	7.77193e+06	4.78557e+06
2.71	7.7927e+06	4.79987e+06
2.72	7.81342e+06	4.81415e+06
2.73	7.83407e+06	4.8284e+06
2.74	7.85466e+06	4.84262e+06
2.75	7.87519e+06	4.85681e+06
2.76	7.89565e+06	4.87097e+06
2.77	7.91606e+06	4.88511e+06
2.78	7.93641e+06	4.89921e+06
2.79	7.95669e+06	4.91328e+06
2.8	7.97692e+06	4.92733e+06
2.81	7.99708e+06	4.94135e+06
2.82	8.01719e+06	4.95533e+06
2.83	8.03723e+06	4.96929e+06
2.84	8.05721e+06	4.98322e+06
2.85	8.07714e+06	4.99712e+06
2.86	8.097e+06	5.01099e+06
2.87	8.1168e+06	5.02483e+06
2.88	8.13654e+06	5.03864e+06
2.89	8.15622e+06	5.05242e+06
2.9	8.17584e+06	5.06618e+06
2.91	8.1954e+06	5.0799e+06
2.92	8.2149e+06	5.09359e+06
2.93	8.23434e+06	5.10726e+06
2.94	8.25371e+06	5.12089e+06
2.95	8.27303e+06	5.1345e+06
2.96	8.29229e+06	5.14807e+06
2.97	8.31149e+06	5.16162e+06
2.98	8.33063e+06	5.17513e+06
2.99	8.34971e+06	5.18862e+06
3	8.36872e+06	5.20207e+06
3.01	8.38768e+06	5.2155e+06
3.02	8.40658e+06	5.2289e+06
3.03	8.42542e+06	5.24226e+06
3.04	8.4442e+06	5.2556e+06
3.05	8.46292e+06	5.2689e+06
3.06	8.48158e+06	5.28218e+06
3.07	8.50017e+06	5.29543e+06
3.08	8.51871e+06	5.30864e+06
3.09	8.5372e+06	5.32183e+06
3.1	8.55562e+06	5.33499e+06
3.11	8.57398e+06	5.34811e+06
3.12	8.59228e+06	5.36121e+06
3.13	8.61052e+06	5.37427e+06
3.14	8.62871e+06	5.38731e+06
3.15	8.64683e+06	5.40031e+06
3.16	8.6649e+06	5.41329e+06
3.17	8.6829e+06	5.42623e+06
3.18	8.70085e+06	5.43915e+06
3.19	8.71874e+06	5.45203e+06
3.2	8.73657e+06	5.46488e+06
3.21	8.75434e+06	5.4777e+06
3.22	8.77205e+06	5.49049e+06
3.23	8.7897e+06	5.50326e+06
3.24	8.8073e+06	5.51599e+06
3.25	8.82483e+06	5.52869e+06
3.26	8.84231e+06	5.54136e+06
3.27	8.85973e+06	5.55399e+06
3.28	8.87709e+06	5.5666e+06
3.29	8.89439e+06	5.57918e+06
3.3	8.91163e+06	5.59172e+06
3.31	8.92882e+06	5.60424e+06
3.32	8.94594e+06	5.61672e+06
3.33	8.96301e+06	5.62918e+06
3.34	8.98002e+06	5.6416e+06
3.35	8.99698e+06	5.65399e+06
3.36	9.01387e+06	5.66635e+06
3.37	9.03071e+06	5.67868e+06
3.38	9.04749e+06	5.69098e+06
3.39	9.06421e+06	5.70325e+06
3.4	9.08087e+06	5.71548e+06
3.41	9.09748e+06	5.72769e+06
3.42	9.11403e+06	5.73986e+06
3.43	9.13052e+06	5.75201e+06
3.44	9.14695e+06	5.76412e+06
3.45	9.16333e+06	5.7762e+06
3.46	9.17965e+06	5.78825e+06
3.47	9.19591e+06	5.80026e+06
3.48	9.21212e+06	5.81225e+06
3.49	9.22827e+06	5.8242e+06
3.5	9.24436e+06	5.83613e+06
3.51	9.26039e+06	5.84802e+06
3.52	9.27637e+06	5.85988e+06
3.53	9.29229e+06	5.87171e+06
3.54	9.30816e+06	5.8835e+06
3.55	9.32397e+06	5.89527e+06
3.56	9.33972e+06	5.907e+06
3.57	9.35542e+06	5.91871e+06
3.58	9.37105e+06	5.93038e+06
3.59	9.38664e+06	5.94201e+06
3.6	9.40217e+06	5.95362e+06
3.61	9.41764e+06	5.9652e+06
3.62	9.43305e+06	5.97674e+06
3.63	9.44841e+06	5.98825e+06
3.64	9.46372e+06	5.99973e+06
3.65	9.47896e+06	6.01118e+06
3.66	9.49416e+06	6.02259e+06
3.67	9.50929e+06	6.03398e+06
3.68	9.52438e+06	6.04533e+06
3.69	9.5394e+06	6.05665e+06
3.7	9.55437e+06	6.06793e+06
3.71	9.56929e+06	6.07919e+06
3.72	9.58415e+06	6.09041e+06
3.73	9.59896e+06	6.1016e+06
3.74	9.61371e+06	6.11276e+06
3.75	9.6284e+06	6.12389e+06
3.76	9.64305e+06	6.13498e+06
3.77	9.65763e+06	6.14604e+06
3.78	9.67217e+06	6.15707e+06
3.79	9.68664e+06	6.16807e+06
3.8	9.70107e+06	6.17903e+06
3.81	9.71544e+06	6.18996e+06
3.82	9.72975e+06	6.20086e+06
3.83	9.74402e+06	6.21173e+06
3.84	9.75822e+06	6.22256e+06
